Category	Term	Count	%	PValue	List Total	Pop Hits	Pop Total	FoldEnrichment	FDR
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	14	30.4348	0.0001	37	1955	16792	3.250	0.012
GOTERM_BP_DIRECT	GO:0050684~regulation of mRNA processing	3	6.5217	0.0002	37	9	16792	151.279	0.012
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	3	6.5217	0.0038	37	43	16792	31.663	0.176
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	6	13.0435	0.0046	37	515	16792	5.287	0.176
GOTERM_BP_DIRECT	GO:0018026~peptidyl-lysine monomethylation	2	4.3478	0.0170	37	8	16792	113.459	0.524
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	8	17.3913	0.0380	37	1504	16792	2.414	0.976
GOTERM_BP_DIRECT	GO:0022604~regulation of cell morphogenesis	2	4.3478	0.0523	37	25	16792	36.307	1.000
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	4	8.6957	0.0679	37	441	16792	4.116	1.000
GOTERM_BP_DIRECT	GO:0009411~response to UV	2	4.3478	0.0863	37	42	16792	21.611	1.000
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	19	41.3043	0.0000	42	2784	18224	2.961	0.001
GOTERM_CC_DIRECT	GO:0005634~nucleus	26	56.5217	0.0000	42	5415	18224	2.083	0.001
GOTERM_CC_DIRECT	GO:0005813~centrosome	4	8.6957	0.0704	42	426	18224	4.074	1.000
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	3	6.5217	0.0750	42	201	18224	6.476	1.000
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	10	21.7391	0.0003	40	985	16881	4.285	0.026
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	6	13.0435	0.0020	40	391	16881	6.476	0.067
GOTERM_MF_DIRECT	GO:0003713~transcription coactivator activity	5	10.8696	0.0025	40	248	16881	8.509	0.067
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	5	10.8696	0.0083	40	348	16881	6.064	0.165
GOTERM_MF_DIRECT	GO:0003677~DNA binding	10	21.7391	0.0124	40	1674	16881	2.521	0.198
GOTERM_MF_DIRECT	GO:0003690~double-stranded DNA binding	3	6.5217	0.0150	40	81	16881	15.631	0.200
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	3	6.5217	0.0337	40	125	16881	10.129	0.385
GOTERM_MF_DIRECT	GO:0016279~protein-lysine N-methyltransferase activity	2	4.3478	0.0386	40	17	16881	49.650	0.386
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	6	13.0435	0.0687	40	961	16881	2.635	0.611
GOTERM_MF_DIRECT	GO:0018024~histone-lysine N-methyltransferase activity	2	4.3478	0.0863	40	39	16881	21.642	0.691
